year,mean_magnitude,median_magnitude,sd_magnitude,min_magnitude,max_magnitude,total_earthquakes
1967,2.775,2.7,0.306594194335118,2.5,3.6,16
1968,2.79735632183908,2.65,0.357746369068454,2.5,4.3,87
1969,3.04153623188406,2.95,0.456922484002399,2.5,5.7,345
1970,3.02677661169415,2.98,0.41701493501881,2.5,4.7,667
1971,3.06912188728702,2.97,0.454532599572488,2.5,4.73,763
1972,3.09617306520414,3,0.477969132875117,2.5,5.1,1641
1973,3.12327868852459,3,0.495824307022035,2.5,4.7,1220
1974,3.04361134995701,2.95,0.444660647579904,2.5,5.2,1163
1975,3.01403087478559,2.91,0.440722234849858,2.5,5.7,1749
1976,2.93796336206897,2.825,0.397547566583079,2.5,6.3,928
1977,2.96177469135802,2.85,0.407691239780452,2.5,4.8,648
1978,3.0104833836858,2.89,0.473944795481206,2.5,5.18,662
1979,3.0433671988389,2.96,0.493265678122062,2.5,5.8,689
1980,3.20056015276894,3.11,0.553919506595483,2.5,7.2,1571
1981,3.03803308823529,2.98,0.43688576627902,2.5,5.9,1088
1982,2.98628736740598,2.88,0.431835230585709,2.5,5.5,1037
1983,2.98449101796407,2.86,0.453994311955502,2.5,6.7,2171
1984,2.99294470353098,2.87,0.4753756300095,2.5,6.6,1501
1985,2.9462015503876,2.83,0.435107610219496,2.5,5.6,1032
1986,2.99325761486835,2.85,0.4946091330004,2.5,6.6,1937
1987,2.97795104261106,2.85,0.454797545110333,2.5,6.1,1103
1988,2.97799145299145,2.85,0.467045124789856,2.5,5.4,936
1989,3.00641215715345,2.87,0.491355415702851,2.5,6.9,1349
1990,2.99578685258964,2.85,0.489596735585488,2.5,6.2,1004
1991,2.97510164569216,2.84,0.481192815315082,2.5,7,1033
1992,3.04225659229209,2.88,0.543841428938326,2.5,7.39,1972
1993,2.97770297029703,2.87,0.448375908483286,2.5,6.36,1515
1994,3.02773053033923,2.91,0.482266161061232,2.5,7,2093
1995,2.95020746887967,2.83,0.436663436665945,2.5,6.6,1205
1996,2.93175751879699,2.8,0.421207569935176,2.5,5.7,1064
1997,2.94820172009382,2.82,0.454788523277256,2.5,5.6,1279
1998,2.92570967741935,2.82,0.416660476613136,2.5,5.4,1240
1999,3.00193053311793,2.89,0.465064981878145,2.5,7,1238
2000,2.92741585233442,2.8,0.416819544063912,2.5,5.7,921
2001,2.94482683982684,2.84,0.419444858693838,2.5,5.4,924
2002,2.90445390070922,2.8,0.381870052325806,2.5,5.2,705
2003,2.93681345076061,2.82,0.415948404188713,2.5,6.5,1249
2004,2.89494949494949,2.77,0.414441796277657,2.5,5.97,1188
2005,2.94090243902439,2.82,0.456545573896084,2.5,6.98,820
2006,2.90037643207856,2.79,0.411234075222337,2.5,5,611
2007,2.9151207115629,2.81,0.437746169976112,2.5,5.5,787
2008,2.93608009708738,2.79,0.47143667435468,2.5,5.95,824
2009,2.91989386792453,2.78,0.449845166132148,2.5,5.13,848
2010,3.00984455958549,2.85,0.545810407293118,2.5,7.2,965
2011,2.92535329341317,2.78,0.442730478635435,2.5,5.25,835
2012,2.9591958041958,2.79,0.506669571777181,2.5,6.14,858
2013,2.91693798449612,2.795,0.434335422227968,2.5,5.69,1032
2014,2.93008547008547,2.84,0.416353580182967,2.5,6.8,1287
2015,2.91525862068966,2.8,0.434355037832237,2.5,5.9,1160
2016,2.97521191294387,2.82,0.515983279941337,2.5,6.45,873
2017,2.91402934537246,2.8,0.414876082836342,2.5,5.73,886
2018,2.92898617511521,2.78,0.506702196115952,2.5,5.75,217
